hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned
4,1,25,0.0,0.0,0.0,0,0,0,92.4,17.4,293,-8.7,33.6,96.6,29.5
4,1,50,0.0,0.0,0.0,0,0,0,79.6,5.8,102,-9.2,2.9,119.7,29.9
4,1,75,0.0,0.0,0.0,0,0,0,80.2,5.2,101,-9.9,9.8,127.8,28.9
4,1,100,0.0,0.0,0.0,0,0,0,76.2,3.8,74,-11.1,0.3,137.1,28.8
4,1,125,0.0,0.0,0.0,0,0,0,80.2,1.6,88,-10.6,0.0,133.0,29.0
4,1,150,0.0,0.0,0.0,0,0,0,73.4,2.6,61,-10.7,0.0,141.1,28.5
4,1,175,0.0,0.0,0.0,0,0,0,77.2,4.4,50,-10.1,0.0,132.4,28.4
4,1,200,0.0,0.0,0.0,0,0,0,77.4,3.0,49,-10.8,0.0,140.5,29.0
4,1,225,0.0,0.0,0.0,0,0,0,77.6,2.8,42,-9.5,0.1,131.5,29.0
4,1,250,0.0,0.0,0.0,0,0,0,76.0,1.0,94,-10.5,0.0,135.5,28.8
4,1,275,0.0,0.0,0.0,0,0,0,78.4,1.6,73,-9.8,0.0,131.7,29.9
4,1,299,0.0,0.0,0.0,0,0,0,76.6,2.2,45,-10.2,0.0,137.8,28.7
4,2,25,0.0,0.0,0.0,0,0,0,98.8,27.8,578,-3.5,63.6,59.0,27.4
4,2,50,0.0,0.0,0.0,0,0,0,84.8,4.6,216,-8.8,24.3,109.0,29.0
4,2,75,0.0,0.0,0.0,0,0,0,81.4,4.0,107,-9.7,4.2,122.2,29.7
4,2,100,0.0,0.0,0.0,0,0,0,82.0,3.6,249,-9.6,0.6,118.9,28.4
4,2,125,0.0,0.0,0.0,0,0,0,77.4,4.4,215,-10.2,0.0,129.1,26.0
4,2,150,0.0,0.0,0.0,0,0,0,76.2,1.6,296,-9.9,0.0,122.2,26.9
4,2,175,0.0,0.0,0.0,0,0,0,76.0,3.6,350,-10.7,0.0,123.4,25.0
4,2,200,0.0,0.0,0.0,0,0,0,76.6,1.8,329,-10.5,0.0,123.7,26.6
4,2,225,0.0,0.0,0.0,0,0,0,76.6,2.0,248,-9.8,0.0,122.8,27.7
4,2,250,0.0,0.0,0.0,0,0,0,74.2,1.6,247,-10.4,0.0,128.7,27.2
4,2,275,0.0,0.0,0.0,0,0,0,78.2,1.0,362,-10.3,0.0,118.4,26.7
4,2,299,0.0,0.0,0.0,0,0,0,77.8,1.2,320,-9.7,0.0,118.3,26.9
4,3,25,0.0,0.0,0.0,0,0,0,89.4,16.8,468,-9.3,28.3,90.5,28.5
4,3,50,0.0,0.0,0.0,0,0,0,80.0,2.0,102,-9.5,40.6,119.7,28.4
4,3,75,0.0,0.0,0.0,0,0,0,77.8,2.2,275,-10.1,0.0,119.9,29.3
4,3,100,0.0,0.0,0.0,0,0,0,82.4,4.6,142,-9.4,0.0,123.4,27.6
4,3,125,0.0,0.0,0.0,0,0,0,80.8,4.2,279,-10.2,0.0,123.3,27.4
4,3,150,0.0,0.0,0.0,0,0,0,83.6,4.0,219,-9.6,0.0,122.0,27.8
4,3,175,0.0,0.0,0.0,0,0,0,80.2,2.2,387,-9.8,0.0,120.6,27.3
4,3,200,0.0,0.0,0.0,0,0,0,79.0,5.6,205,-9.7,0.0,131.0,28.4
4,3,225,0.0,0.0,0.0,0,0,0,79.4,0.0,476,-8.9,0.0,109.7,27.1
4,3,250,0.0,0.0,0.0,0,0,0,81.4,1.2,276,-9.7,0.0,124.9,27.2
4,3,275,0.0,0.0,0.0,0,0,0,84.2,0.8,486,-9.4,0.0,110.8,27.3
4,3,299,0.0,0.0,0.0,0,0,0,81.2,2.0,247,-9.4,0.0,124.3,28.4
4,4,25,0.0,0.0,0.0,0,0,0,99.8,21.2,527,-5.4,20.9,67.4,29.1
4,4,50,0.0,0.0,0.0,0,0,0,84.4,3.2,262,-9.6,31.1,109.7,28.3
4,4,75,0.0,0.0,0.0,0,0,0,80.4,5.6,126,-9.3,0.0,126.0,27.0
4,4,100,0.0,0.0,0.0,0,0,0,81.0,1.8,215,-9.7,0.0,121.8,29.6
4,4,125,0.0,0.0,0.0,0,0,0,79.0,2.8,158,-9.3,0.0,125.3,29.0
4,4,150,0.0,0.0,0.0,0,0,0,79.8,5.8,430,-10.0,0.0,117.1,27.7
4,4,175,0.0,0.0,0.0,0,0,0,82.4,5.0,288,-9.6,0.0,118.7,28.2
4,4,200,0.0,0.0,0.0,0,0,0,77.8,2.8,165,-9.7,0.0,128.9,26.8
4,4,225,0.0,0.0,0.0,0,0,0,77.0,1.4,199,-9.1,0.0,123.4,28.2
4,4,250,0.0,0.0,0.0,0,0,0,84.8,2.0,279,-8.4,0.0,112.1,27.6
4,4,275,0.0,0.0,0.0,0,0,0,79.4,3.2,208,-9.0,0.0,125.0,26.3
4,4,299,0.0,0.0,0.0,0,0,0,76.0,2.6,265,-10.3,0.0,129.1,26.6
4,5,25,0.0,0.0,0.0,0,0,0,90.0,11.0,194,-7.9,32.3,101.4,29.9
4,5,50,0.0,0.0,0.0,0,0,0,79.0,5.6,109,-10.6,0.5,125.1,30.1
4,5,75,0.0,0.0,0.0,0,0,0,76.8,7.2,215,-11.0,10.7,125.6,28.0
4,5,100,0.0,0.0,0.0,0,0,0,74.8,4.4,146,-10.5,0.0,131.5,26.5
4,5,125,0.0,0.0,0.0,0,0,0,78.8,3.4,100,-9.1,0.0,128.5,27.6
4,5,150,0.0,0.0,0.0,0,0,0,78.6,1.0,154,-9.7,0.0,128.5,27.4
4,5,175,0.0,0.0,0.0,0,0,0,78.0,1.6,122,-10.0,0.0,133.6,28.0
4,5,200,0.0,0.0,0.0,0,0,0,81.2,0.6,231,-8.6,0.0,117.9,27.8
4,5,225,0.0,0.0,0.0,0,0,0,78.8,4.4,223,-10.1,0.0,130.6,26.5
4,5,250,0.0,0.0,0.0,0,0,0,81.0,4.0,191,-10.0,0.0,128.5,26.6
4,5,275,0.0,0.0,0.0,0,0,0,78.6,0.6,195,-9.1,0.0,121.3,28.0
4,5,299,0.0,0.0,0.0,0,0,0,79.8,1.4,205,-9.6,0.0,126.3,27.6
4,6,25,0.0,0.0,0.0,0,0,0,89.6,10.6,479,-6.8,43.2,84.2,30.0
4,6,50,0.0,0.0,0.0,0,0,0,84.0,3.4,115,-8.7,36.2,111.3,28.8
4,6,75,0.0,0.0,0.0,0,0,0,82.4,4.8,92,-9.5,3.1,120.7,28.3
4,6,100,0.0,0.0,0.0,0,0,0,77.6,3.0,180,-9.8,0.0,127.3,27.5
4,6,125,0.0,0.0,0.0,0,0,0,80.8,5.6,242,-8.8,0.0,117.2,28.8
