hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned,breed
32,1,25,0.0,0.0,0.0,0,0,0,99.6,17.8,944,-0.3,72.0,13.2,26.8,0.1
32,1,50,0.0,0.0,0.0,0,0,0,100.0,32.6,796,-1.1,42.8,42.1,26.9,0.1
32,1,75,0.0,0.0,0.0,0,0,0,100.0,34.4,665,-1.5,40.5,42.1,28.0,0.1
32,1,100,0.8,0.0,0.0,0,0,0,100.0,55.4,776,-4.0,29.7,50.5,28.8,0.1
32,1,125,7.2,2.2,1.4,21,30,42,98.6,45.8,872,-5.9,29.5,72.7,28.4,0.1
32,1,150,8.4,5.4,2.6,23,30,33,97.4,55.0,862,-5.9,9.9,94.6,27.1,0.1
32,1,175,32.8,21.8,11.4,25,34,40,88.6,48.2,1105,-4.3,11.2,244.5,27.3,0.1
32,1,200,37.8,29.4,18.0,23,28,36,82.0,41.4,920,-0.7,18.0,344.6,26.3,0.1
32,1,225,47.2,38.8,29.2,23,28,38,70.8,30.0,980,+2.5,15.6,482.5,23.0,0.1
32,1,250,43.2,39.2,33.0,21,27,36,67.0,26.8,585,+5.9,16.3,537.2,22.0,0.1
32,1,275,55.6,52.2,46.0,20,27,36,54.0,17.6,658,+7.6,7.3,708.3,17.8,0.1
32,1,299,54.4,51.2,41.6,19,23,31,58.4,26.2,791,+5.2,9.4,667.1,18.7,0.1
32,2,25,0.0,0.0,0.0,0,0,0,100.0,26.6,1079,-5.7,38.8,38.5,27.4,0.1
32,2,50,0.0,0.0,0.0,0,0,0,100.0,53.8,803,-4.6,17.6,47.3,27.1,0.1
32,2,75,3.6,0.8,0.0,0,0,0,100.0,37.6,839,-6.0,10.5,65.2,28.0,0.1
32,2,100,6.2,2.6,1.0,47,64,81,99.0,42.6,863,-5.4,4.6,69.0,29.0,0.1
32,2,125,13.8,11.2,7.4,40,54,70,92.6,23.2,1233,-2.6,26.1,135.1,29.8,0.1
32,2,150,25.6,18.0,11.8,27,44,62,88.2,34.4,820,-2.5,13.2,238.2,28.0,0.1
32,2,175,29.2,24.2,18.6,29,42,55,81.4,28.8,1108,+3.9,17.3,299.4,25.1,0.1
32,2,200,44.8,39.2,33.6,33,43,53,66.4,22.4,1072,+12.1,32.4,487.2,21.2,0.1
32,2,225,54.8,50.8,48.4,23,30,42,51.6,12.8,847,+16.4,28.3,703.5,18.4,0.1
32,2,250,58.4,57.0,49.8,22,30,44,50.2,10.4,924,+7.0,39.5,732.7,19.2,0.1
32,2,275,62.6,60.2,55.6,19,23,32,44.4,13.2,629,+10.3,29.1,850.4,17.6,0.1
32,2,299,62.6,60.2,57.2,20,24,33,42.8,13.2,660,+15.3,24.6,858.7,16.6,0.1
32,3,25,0.0,0.0,0.0,0,0,0,100.0,35.2,1071,-1.4,34.1,27.5,28.0,0.1
32,3,50,0.2,0.0,0.0,0,0,0,99.6,53.6,952,-2.3,19.1,35.8,27.5,0.1
32,3,75,0.2,0.0,0.0,0,0,0,99.8,44.4,1026,-2.8,25.8,36.9,27.5,0.1
32,3,100,2.2,0.8,0.6,36,55,62,99.2,45.8,1059,-4.2,33.3,48.6,29.1,0.1
32,3,125,4.4,2.2,0.8,35,46,60,99.2,46.8,1166,-6.1,26.5,63.5,28.4,0.1
32,3,150,10.8,6.8,5.2,32,41,62,94.8,40.2,711,-3.9,28.1,137.8,28.1,0.1
32,3,175,27.2,21.4,16.6,29,33,46,83.4,39.6,938,-1.3,30.1,288.4,24.8,0.1
32,3,200,34.0,28.4,19.6,20,29,36,80.4,36.8,893,-1.0,17.7,353.8,25.4,0.1
32,3,225,39.4,25.4,14.2,22,28,38,85.8,43.4,1173,-5.0,23.6,305.5,25.3,0.1
32,3,250,38.4,30.4,21.2,19,23,36,78.8,37.2,953,-2.6,18.5,386.0,26.0,0.1
32,3,275,33.6,24.4,17.0,18,24,37,83.0,46.0,1314,-5.8,22.6,305.8,25.0,0.1
32,3,299,44.4,34.4,22.6,19,27,43,77.4,36.6,1237,-3.1,26.5,401.4,24.8,0.1
32,4,25,0.0,0.0,0.0,0,0,0,100.0,43.8,794,-1.8,35.1,37.4,27.1,0.1
32,4,50,0.0,0.0,0.0,0,0,0,100.0,38.6,831,-1.7,39.4,38.6,27.4,0.1
32,4,75,0.2,0.0,0.0,0,0,0,100.0,32.8,732,-2.4,41.7,49.7,28.9,0.1
32,4,100,0.6,0.0,0.0,0,0,0,100.0,40.2,726,-4.0,28.3,51.6,28.2,0.1
32,4,125,2.2,1.4,0.2,41,41,41,99.8,49.4,709,-4.7,22.7,65.0,28.2,0.1
32,4,150,7.6,4.6,2.4,27,36,47,97.6,34.2,755,-6.6,19.2,95.6,28.5,0.1
32,4,175,7.2,4.2,3.4,30,38,45,96.6,39.8,669,-5.4,11.4,102.7,28.3,0.1
32,4,200,24.8,16.4,11.6,27,33,38,88.4,43.2,818,-1.3,18.8,232.6,26.3,0.1
32,4,225,31.8,21.2,17.0,26,32,45,83.0,34.4,893,+3.4,13.3,307.7,23.8,0.1
32,4,250,48.4,42.6,37.8,21,27,37,62.2,20.4,621,+8.4,10.5,597.1,20.8,0.1
32,4,275,49.0,40.6,34.0,26,33,50,66.0,22.2,770,+6.5,11.7,538.9,19.0,0.1
32,4,299,46.2,43.8,38.6,24,30,39,61.4,19.6,553,+6.8,8.2,601.1,20.8,0.1
32,5,25,0.0,0.0,0.0,0,0,0,100.0,9.2,1270,-2.2,52.0,20.9,28.2,0.1
32,5,50,0.0,0.0,0.0,0,0,0,99.8,41.0,826,-2.4,34.5,44.1,28.2,0.1
32,5,75,0.4,0.2,0.2,37,37,37,99.4,44.4,803,-3.5,19.8,45.7,27.9,0.1
32,5,100,1.8,0.4,0.0,0,0,0,99.6,22.4,857,-4.6,26.2,54.7,29.0,0.1
32,5,125,1.8,1.0,0.8,51,67,84,98.6,28.4,665,-3.1,20.6,69.9,28.5,0.1
32,5,150,5.6,2.8,1.6,40,59,65,98.4,23.6,958,-5.3,23.2,78.3,27.8,0.1
32,5,175,7.8,2.2,1.4,35,50,66,98.4,39.4,664,-5.2,19.6,85.6,27.4,0.1
32,5,200,9.0,4.4,4.0,36,53,69,95.6,41.6,803,-6.7,22.7,106.7,27.5,0.1
32,5,225,13.0,8.4,5.4,28,41,61,94.4,34.0,952,-5.6,21.4,126.9,27.2,0.1
32,5,250,17.2,9.2,5.4,35,48,69,94.4,39.8,976,-6.2,22.7,135.3,27.7,0.1
32,5,275,26.0,17.6,15.8,31,40,67,82.6,29.6,906,-1.7,31.3,260.2,25.2,0.1
32,5,299,22.2,13.8,8.2,31,41,64,91.4,48.8,962,-5.3,23.2,174.6,27.7,0.1
32,6,25,0.0,0.0,0.0,0,0,0,100.0,36.4,884,-2.2,43.5,41.5,28.0,0.1
32,6,50,0.6,0.0,0.0,0,0,0,99.8,46.0,747,-3.9,41.4,51.4,28.4,0.1
32,6,75,0.6,0.0,0.0,0,0,0,100.0,52.2,780,-3.5,33.6,50.0,27.0,0.1
32,6,100,8.0,0.2,0.2,53,53,53,99.8,35.0,963,-4.8,23.5,66.6,29.4,0.1
32,6,125,7.0,0.4,0.0,0,0,0,100.0,50.6,946,-4.9,24.4,61.9,28.0,0.1
32,6,150,10.8,2.2,0.0,0,0,0,97.2,24.8,1609,-5.2,36.7,45.1,28.2,0.1
32,6,175,3.8,0.2,0.0,0,0,0,91.8,30.8,1604,-6.5,56.0,42.6,25.8,0.1
32,6,200,1.2,0.2,0.0,0,0,0,95.8,22.8,1537,-3.7,55.2,26.5,26.0,0.1
32,6,225,8.8,2.6,0.0,0,0,0,98.2,41.6,2036,-3.0,52.3,12.9,25.7,0.1
32,6,250,24.0,18.4,3.2,56,67,81,95.4,55.6,1806,+0.1,36.4,78.8,27.4,0.1
32,6,275,40.2,29.6,12.2,45,54,67,87.8,31.4,1776,+4.1,37.8,218.3,26.8,0.1
32,6,299,30.4,21.0,19.4,40,47,61,80.6,27.6,1589,+7.5,26.3,239.9,26.4,0.1
32,7,25,0.2,0.0,0.0,0,0,0,100.0,25.2,893,-3.7,63.8,35.1,28.0,0.1
