hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned,kind
32,1,10,0.0,0.0,0.0,0,0,0,100.0,40.8,632,-3.1,39.9,52.0,28.1,recall
32,1,20,0.0,0.0,0.0,0,0,0,99.6,43.6,635,-2.7,39.0,47.7,27.9,recall
32,1,30,1.4,0.4,0.2,67,67,67,99.6,35.6,767,-3.3,39.3,50.1,28.4,recall
32,1,40,10.0,7.2,4.0,37,56,66,96.0,45.8,1174,+3.6,58.9,108.7,27.9,recall
32,1,50,13.6,8.4,5.8,34,48,71,94.0,52.0,1368,+2.5,32.8,135.5,26.9,recall
32,1,60,13.4,7.0,6.4,26,37,59,92.8,38.2,1030,+1.8,31.1,156.8,28.4,recall
32,1,70,14.8,9.8,8.4,29,47,80,91.4,42.2,1281,+3.3,38.7,173.1,29.2,recall
32,1,80,25.6,17.4,9.8,37,51,64,89.8,42.8,1775,+2.6,37.3,184.8,26.8,recall
32,1,90,15.4,11.2,9.2,30,69,89,90.2,47.4,1603,+3.9,40.8,160.0,30.0,recall
32,1,99,12.2,9.4,9.2,28,39,60,90.8,54.0,1678,+5.4,34.3,157.1,30.8,recall
32,2,10,0.2,0.2,0.0,0,0,0,99.4,10.0,1200,-1.4,81.8,20.8,29.0,recall
32,2,20,1.4,1.2,1.0,51,51,52,99.0,20.2,1024,-2.1,64.3,38.8,28.4,recall
32,2,30,5.0,1.6,1.0,27,45,58,99.0,37.6,881,-3.9,69.2,56.1,27.6,recall
32,2,40,16.8,11.6,8.6,23,33,44,91.4,32.8,877,-1.0,45.5,169.0,28.2,recall
32,2,50,21.8,18.6,12.0,24,31,45,88.0,39.4,742,-0.8,36.4,237.9,27.5,recall
32,2,60,36.8,27.2,22.4,25,30,45,77.6,39.4,1254,+13.3,4.8,376.5,23.7,recall
32,2,70,22.0,17.0,13.8,24,32,51,86.2,51.2,1317,+10.0,13.6,231.3,26.8,recall
32,2,80,26.2,18.4,15.8,19,30,44,84.2,53.2,1470,+5.5,9.2,267.3,24.7,recall
32,2,90,35.2,25.4,23.2,24,30,41,76.8,37.8,1400,+15.6,5.0,371.7,23.0,recall
32,2,99,42.6,36.4,34.4,22,28,35,65.6,26.0,644,+10.4,1.9,547.9,18.8,recall
32,3,10,0.4,0.0,0.0,0,0,0,99.4,25.6,791,-1.2,34.7,54.0,29.6,recall
32,3,20,0.6,0.4,0.4,58,63,63,99.6,49.8,761,-2.5,27.6,55.5,28.4,recall
32,3,30,5.4,1.8,0.8,59,73,79,99.2,52.8,880,-2.6,41.6,63.4,26.6,recall
32,3,40,10.0,4.4,1.2,23,37,50,98.8,41.2,988,-4.2,38.0,80.7,27.9,recall
32,3,50,13.8,9.2,8.2,31,38,48,91.6,45.8,1233,+3.0,39.6,157.2,26.0,recall
32,3,60,14.2,6.0,3.6,33,41,61,96.4,41.0,1059,-0.4,35.6,112.3,26.3,recall
32,3,70,16.8,11.2,9.6,26,39,50,90.2,58.4,1510,+11.9,10.4,180.7,24.9,recall
