kind,hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned
none,32,1,25,1.0,0.8,0.6,45,74,97,90.4,23.2,932,-2.6,19.9,34.1,14.2
none,32,1,50,10.4,7.0,5.0,33,51,77,81.4,14.4,593,-1.0,8.5,118.1,14.2
none,32,1,75,25.4,23.0,20.2,25,32,41,64.2,26.0,762,+10.8,19.1,334.6,12.0
none,32,1,100,44.8,39.4,33.2,21,25,38,54.0,23.8,681,+10.9,5.3,538.4,8.8
none,32,1,125,52.6,48.4,40.6,18,23,32,48.0,30.0,786,+7.4,6.2,652.6,8.3
none,32,1,150,54.2,48.2,41.6,19,24,32,48.0,29.8,863,+8.8,17.7,665.0,7.4
none,32,1,175,57.6,53.6,48.4,20,25,33,38.0,19.6,705,+12.7,13.4,754.0,7.5
none,32,1,200,53.4,49.2,44.2,20,24,31,44.2,26.8,778,+9.2,9.4,689.6,7.6
none,32,1,225,40.4,37.8,35.6,20,26,33,54.6,27.0,814,+10.7,13.0,553.0,9.2
none,32,1,250,53.4,49.2,45.6,20,23,31,44.4,24.8,813,+12.8,12.0,703.3,7.0
none,32,1,275,55.0,51.2,48.4,19,23,29,43.4,32.0,771,+13.7,16.2,745.9,6.5
none,32,1,300,58.4,48.8,42.0,19,22,29,48.8,31.4,895,+11.2,9.7,679.5,7.6
none,32,1,325,50.0,44.2,35.2,18,22,28,55.8,42.4,1158,+10.6,9.8,575.4,8.3
none,32,1,350,55.2,41.4,35.0,18,23,30,49.8,24.0,761,+7.1,14.9,597.4,9.4
none,32,1,375,51.8,44.6,37.4,16,20,27,56.4,42.8,1028,+8.2,7.7,618.9,8.1
none,32,1,400,48.0,44.2,42.0,20,25,34,48.8,36.2,833,+16.3,3.0,643.2,8.0
none,32,1,425,61.2,49.0,42.8,17,21,28,47.8,34.8,854,+8.5,7.2,701.2,7.2
none,32,1,450,57.4,50.8,42.6,17,20,26,47.8,34.0,796,+8.9,4.9,705.0,7.8
none,32,1,475,55.4,52.0,46.0,18,21,28,42.8,22.2,597,+9.0,2.5,736.2,7.9
none,32,1,500,61.8,56.0,47.4,18,22,27,42.4,31.6,816,+6.8,1.5,763.5,7.6
none,32,1,525,53.0,45.4,39.0,18,21,26,52.2,42.0,1019,+8.9,1.3,631.7,8.5
none,32,1,550,53.4,48.6,45.0,17,20,26,47.4,35.2,856,+9.0,2.3,702.2,7.4
none,32,1,575,58.0,51.8,48.2,20,23,30,39.2,20.6,790,+14.9,1.9,747.9,7.6
none,32,1,599,63.4,54.4,51.2,19,24,30,36.4,21.8,745,+16.9,8.9,796.1,6.8
none,32,2,25,0.0,0.0,0.0,0,0,0,94.4,29.6,512,-1.0,28.4,32.5,13.9
none,32,2,50,2.0,1.0,0.4,65,73,73,94.0,39.6,938,-0.2,27.5,18.5,13.6
none,32,2,75,10.6,8.6,7.6,37,47,55,79.4,21.0,788,+0.8,24.7,130.6,13.3
none,32,2,100,22.4,20.4,19.4,22,26,33,72.4,35.4,734,+5.1,18.0,310.6,11.8
none,32,2,125,49.6,46.4,42.8,21,29,39,41.4,19.2,468,+10.6,12.5,664.0,8.7
none,32,2,150,44.6,38.8,36.0,20,25,35,47.6,21.6,590,+9.8,24.8,578.1,10.3
none,32,2,175,36.2,33.2,31.0,22,28,39,54.4,25.0,692,+7.3,9.6,491.9,10.1
none,32,2,200,53.4,46.4,41.4,20,25,32,49.4,31.8,847,+9.4,4.8,653.4,7.2
none,32,2,225,54.4,46.6,40.0,18,24,36,46.0,22.2,611,+7.5,3.2,654.6,8.7
none,32,2,250,46.0,42.2,38.6,22,27,38,50.2,27.4,688,+11.6,0.9,601.1,8.5
