kind,hidden,trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned
none,32,1,10,0.0,0.0,0.0,0,0,0,96.0,13.8,1082,-1.8,52.5,7.9,13.1
none,32,1,20,0.0,0.0,0.0,0,0,0,95.6,42.6,666,-1.8,40.5,33.8,14.1
none,32,1,30,0.0,0.0,0.0,0,0,0,96.6,56.4,652,-1.8,31.9,27.2,13.2
none,32,1,40,5.4,5.2,4.6,48,55,84,87.0,38.8,501,+4.4,24.9,104.1,13.3
none,32,1,50,8.6,8.0,7.4,42,59,88,83.4,42.4,714,+8.4,17.1,132.2,12.5
none,32,1,60,10.0,9.4,9.2,38,48,64,79.8,39.8,619,+5.9,19.9,158.4,12.6
none,32,1,70,13.8,9.4,5.4,29,37,60,75.0,21.8,750,+6.2,7.4,153.4,14.1
none,32,1,80,17.2,11.2,7.2,23,28,33,84.2,54.8,1324,+5.5,4.1,153.1,11.7
none,32,1,90,29.2,24.8,23.6,25,30,41,64.0,27.2,563,+14.4,16.2,391.4,10.8
none,32,1,99,33.0,23.0,17.2,18,24,34,70.2,40.4,715,+3.2,11.6,338.7,11.6
none,32,2,10,0.0,0.0,0.0,0,0,0,93.8,11.4,1218,-0.6,49.6,4.7,13.4
none,32,2,20,0.0,0.0,0.0,0,0,0,93.6,15.8,625,-1.2,39.8,41.2,13.1
none,32,2,30,0.0,0.0,0.0,0,0,0,90.6,14.4,949,-1.3,41.7,25.0,14.2
none,32,2,40,0.0,0.0,0.0,0,0,0,84.2,12.6,281,-7.7,23.6,63.4,14.5
none,32,2,50,0.2,0.0,0.0,0,0,0,90.0,14.0,726,-0.8,23.8,40.8,14.0
none,32,2,60,4.4,2.6,1.2,32,57,78,83.0,21.8,690,-0.8,10.7,79.3,13.2
none,32,2,70,5.6,5.2,3.2,46,69,90,81.4,24.2,2362,+1.1,15.0,10.4,13.8
none,32,2,80,5.8,4.8,4.6,40,56,74,83.0,13.8,574,+1.2,3.6,110.7,13.8
none,32,2,90,9.4,7.4,6.4,38,57,72,74.2,18.2,601,+1.9,15.4,144.9,13.7
none,32,2,99,5.4,4.6,3.6,42,59,73,79.8,16.4,611,+0.7,1.7,104.8,14.0
none,32,3,10,0.0,0.0,0.0,0,0,0,98.4,32.0,1002,-2.8,46.3,16.0,13.1
none,32,3,20,0.0,0.0,0.0,0,0,0,97.8,45.8,672,-2.4,35.2,37.5,11.8
none,32,3,30,0.0,0.0,0.0,0,0,0,95.6,38.6,446,-0.6,34.8,45.1,13.6
none,32,3,40,7.4,4.2,1.0,48,66,88,87.6,37.2,703,-5.1,22.0,77.9,12.8
none,32,3,50,3.0,1.4,1.2,29,53,58,92.0,60.8,715,-5.3,35.1,59.5,12.9
none,32,3,60,7.6,1.4,0.8,34,43,48,84.0,26.4,775,-2.8,23.8,77.5,13.6
none,32,3,70,10.2,8.0,7.6,44,66,83,76.0,12.8,344,+0.2,19.1,158.0,13.2
none,32,3,80,9.0,7.6,6.8,39,49,63,77.0,13.6,460,+0.5,12.7,151.1,14.0
none,32,3,90,4.4,3.4,3.0,43,55,64,83.4,34.4,620,-0.0,15.1,94.4,14.5
none,32,3,99,13.8,8.0,4.6,37,59,94,76.2,25.2,1102,+4.9,13.6,126.7,12.3
none,32,4,10,0.0,0.0,0.0,0,0,0,98.2,34.8,969,-0.4,31.5,10.0,13.7
none,32,4,20,0.0,0.0,0.0,0,0,0,94.6,17.8,1193,-0.5,32.5,4.5,14.7
none,32,4,30,1.4,1.0,0.8,53,65,69,95.0,40.4,1009,-0.4,22.9,24.3,12.6
none,32,4,40,1.6,0.6,0.6,33,36,56,94.8,23.8,961,-0.5,33.4,26.3,14.0
none,32,4,50,1.8,0.8,0.8,30,38,46,95.2,42.6,766,-0.2,22.0,36.8,12.9
none,32,4,60,7.6,5.8,5.4,28,42,61,82.8,15.0,833,+5.6,28.6,117.5,13.7
none,32,4,70,17.0,15.0,13.4,24,30,47,77.6,29.6,523,+5.2,12.4,244.0,11.2
none,32,4,80,16.8,15.4,12.6,24,31,40,76.8,25.8,586,+4.1,3.4,237.7,12.1
none,32,4,90,28.0,24.2,22.4,23,30,42,65.0,14.2,496,+8.1,9.2,376.9,11.3
none,32,4,99,33.6,26.4,24.2,25,30,41,64.6,19.4,687,+6.7,7.0,396.9,10.6
none,32,5,10,0.0,0.0,0.0,0,0,0,96.8,38.8,597,-0.3,33.6,28.5,13.7
none,32,5,20,0.0,0.0,0.0,0,0,0,93.6,21.8,676,-0.3,40.2,33.4,13.3
none,32,5,30,1.0,1.0,1.0,61,76,93,92.0,3.0,769,+0.2,23.9,36.8,14.1
none,32,5,40,3.0,2.4,2.2,34,50,73,86.4,10.2,828,-1.2,32.6,57.7,15.3
none,32,5,50,3.4,2.2,1.4,39,51,97,92.6,46.6,595,-2.6,26.4,59.6,13.3
none,32,5,60,6.8,5.2,3.4,25,29,39,87.6,29.4,933,-1.4,32.3,75.1,13.8
none,32,5,70,16.6,9.6,4.8,22,30,35,81.6,39.6,1061,-2.4,31.7,136.6,12.8
none,32,5,80,25.4,19.0,16.4,26,34,41,70.6,29.6,905,+1.4,32.1,283.7,11.2
none,32,5,90,45.4,30.0,28.8,24,30,40,58.0,30.0,1395,+17.5,40.6,442.0,9.8
none,32,5,99,54.8,52.0,47.6,21,25,32,37.4,11.4,795,+11.8,49.5,726.8,8.3
none,32,6,10,0.0,0.0,0.0,0,0,0,96.0,4.0,1153,-0.4,33.2,1.7,13.2
none,32,6,20,0.0,0.0,0.0,0,0,0,99.0,63.8,823,-0.5,27.6,9.2,13.5
none,32,6,30,0.0,0.0,0.0,0,0,0,90.0,45.0,639,-8.0,23.8,49.9,12.5
none,32,6,40,5.4,5.0,4.2,56,78,89,81.4,9.6,556,-1.4,31.8,102.8,13.8
none,32,6,50,0.8,0.2,0.2,66,66,66,94.0,57.0,723,-3.8,37.8,34.1,13.9
none,32,6,60,1.8,1.2,0.6,41,46,47,95.0,57.2,658,-1.7,27.0,46.6,13.9
none,32,6,70,7.6,5.2,2.8,25,32,42,89.4,37.8,626,-5.2,21.0,98.4,12.6
none,32,6,80,12.0,8.0,5.4,24,30,37,85.0,44.2,685,-1.1,30.2,136.8,13.2
none,32,6,90,29.6,24.8,21.6,23,30,54,61.8,13.6,718,+3.3,32.2,356.6,11.3
none,32,6,99,29.2,25.2,22.8,29,37,54,64.0,19.8,507,+1.9,40.1,368.8,11.4
none,32,7,10,0.0,0.0,0.0,0,0,0,94.8,3.8,933,-0.1,41.7,21.7,13.2
none,32,7,20,0.0,0.0,0.0,0,0,0,98.2,65.8,630,-3.3,6.0,27.8,12.9
none,32,7,30,0.2,0.0,0.0,0,0,0,95.8,54.8,659,-3.0,7.2,38.4,13.4
none,32,7,40,1.6,0.6,0.2,44,44,44,86.8,22.4,555,-2.7,22.0,52.4,13.5
none,32,7,50,9.0,8.0,7.0,37,55,85,71.0,22.4,574,+4.4,14.6,153.7,12.1
none,32,7,60,12.4,10.4,8.2,39,55,73,77.0,31.4,710,+5.7,27.0,167.0,12.9
none,32,7,70,13.8,11.6,10.0,45,60,84,72.2,32.6,625,+1.9,31.3,177.0,11.6
none,32,7,80,13.0,9.4,9.0,46,59,81,70.4,17.6,473,+1.7,23.0,169.1,13.5
none,32,7,90,17.2,13.8,12.4,40,48,75,70.6,25.8,722,+4.7,25.4,207.2,12.6
none,32,7,99,11.6,10.0,8.2,31,38,54,79.0,34.6,707,-0.5,19.5,156.8,12.5
none,32,8,10,0.0,0.0,0.0,0,0,0,96.2,4.4,1120,-2.1,26.4,14.3,14.1
none,32,8,20,0.0,0.0,0.0,0,0,0,96.6,48.0,694,-1.3,29.7,31.0,13.6
none,32,8,30,1.0,0.0,0.0,0,0,0,91.6,21.2,828,-1.7,23.6,37.2,13.4
none,32,8,40,4.8,4.6,4.0,62,70,93,82.6,5.4,733,-0.5,47.7,86.2,14.2
none,32,8,50,6.2,5.0,4.6,48,70,86,78.8,5.4,936,-0.1,25.1,94.3,13.9
