trial,generation,prince,king,crowned,p10,median,p90,fell,mother,starved,nobles,read,fitness,rivals_crowned
1,200,31.4,23.6,20.0,19,25,36,65.6,25.0,714,+4.0,14.7,360.2,12.7
1,300,47.2,38.4,30.2,16,19,25,55.8,19.0,584,+4.5,11.4,542.2,12.0
1,399,40.4,31.8,20.2,18,21,27,66.2,25.0,742,+2.7,13.2,404.4,12.5
2,200,44.2,40.6,35.8,18,21,28,54.0,26.2,894,+9.0,17.8,564.0,10.4
2,300,29.8,20.0,15.6,17,20,26,71.6,33.2,622,+0.2,3.3,316.8,13.6
2,399,38.2,31.2,25.0,18,22,32,57.8,17.4,566,+4.8,11.1,450.5,12.7
3,200,0.0,0.0,0.0,0,0,0,69.2,9.0,283,-10.7,17.8,80.5,15.9
3,300,0.0,0.0,0.0,0,0,0,75.0,5.6,261,-10.7,12.3,81.2,16.5
3,399,0.0,0.0,0.0,0,0,0,72.6,5.2,170,-12.4,4.0,88.1,16.3
4,200,30.8,25.8,21.4,19,22,28,61.8,18.2,697,+6.4,9.4,380.7,12.8
4,300,30.6,26.8,23.6,18,21,28,62.0,29.6,793,+12.8,4.1,410.9,12.6
4,399,45.0,41.2,35.6,18,22,31,51.0,20.2,707,+10.6,0.8,578.8,10.1
5,200,37.4,26.2,18.8,19,23,28,63.0,37.8,889,+6.4,1.1,366.2,12.4
5,300,47.0,35.2,26.4,19,23,30,48.4,19.4,726,+3.8,1.2,494.6,11.2
5,399,45.2,41.0,33.2,18,22,29,51.8,17.0,814,+8.5,1.1,554.4,11.2
6,200,1.4,0.8,0.8,68,96,98,84.8,17.0,976,+0.0,0.1,34.2,15.2
6,300,3.0,1.2,1.2,59,67,92,83.4,14.6,637,+1.6,0.0,61.5,15.9
6,399,2.8,2.6,2.2,49,54,72,85.0,17.4,911,+1.4,0.2,53.2,16.2
7,200,0.0,0.0,0.0,0,0,0,69.6,9.0,291,-10.0,20.3,82.8,15.0
7,300,0.0,0.0,0.0,0,0,0,72.6,10.6,230,-11.9,18.3,80.6,14.8
7,399,0.0,0.0,0.0,0,0,0,75.8,4.2,125,-10.8,16.4,83.9,16.0
8,200,43.6,37.4,28.0,17,21,28,59.2,25.4,546,+6.9,9.7,509.0,11.4
8,300,47.2,38.4,29.6,16,20,27,55.4,32.8,796,+9.6,3.8,527.3,10.6
8,399,37.0,31.0,24.2,16,19,26,66.0,51.8,1056,+9.1,5.2,424.0,11.3
9,200,0.0,0.0,0.0,0,0,0,71.4,7.6,177,-7.5,20.5,87.8,15.5
9,300,0.2,0.0,0.0,0,0,0,71.0,3.0,127,-9.2,9.7,89.7,16.0
9,399,0.0,0.0,0.0,0,0,0,76.8,0.2,66,-7.4,10.8,83.6,16.0
10,200,25.4,21.4,16.0,19,25,34,69.2,28.0,741,+4.4,9.3,302.2,13.6
10,300,32.6,28.4,20.6,19,23,29,67.0,25.8,832,+3.7,6.7,375.5,13.0
10,399,33.8,17.6,13.8,19,24,30,72.0,30.2,895,+3.1,7.9,292.3,13.1
11,200,36.2,25.0,19.0,17,22,31,64.6,30.0,838,+6.7,20.6,362.0,12.5
11,300,35.8,28.6,24.0,18,22,32,63.2,18.8,599,+7.4,20.7,427.2,12.8
11,399,45.4,36.0,24.4,17,21,29,59.4,29.8,821,+4.3,19.1,465.7,11.6
12,200,31.4,21.2,16.8,21,25,34,65.0,30.6,966,+10.9,19.9,310.7,13.1
12,300,48.6,40.8,34.2,20,24,35,46.6,17.2,686,+9.1,18.1,564.4,11.0
12,399,47.8,37.0,30.8,17,21,28,49.0,16.4,769,+11.0,19.4,535.3,11.5
13,200,36.2,29.0,24.6,18,22,29,59.8,22.4,832,+9.6,3.7,422.2,12.0
13,300,36.0,29.4,21.2,16,19,26,65.0,31.4,700,+6.2,2.9,404.5,12.1
13,399,32.0,23.6,19.0,16,19,25,72.0,40.4,867,+4.2,4.6,355.9,12.4
14,200,30.6,26.0,22.8,20,25,35,63.2,22.0,780,+10.3,2.6,388.0,12.6
14,300,33.2,28.8,24.8,18,22,29,62.0,23.2,785,+8.6,3.1,421.2,12.6
14,399,32.4,28.6,26.0,18,22,28,62.6,27.0,743,+6.7,2.1,432.0,12.1
15,200,47.8,35.6,30.6,19,25,35,50.8,16.8,713,+7.8,1.3,522.1,11.3
15,300,53.0,44.8,33.6,15,19,23,54.8,29.2,1107,+6.7,1.6,577.6,10.0
15,399,44.4,41.2,32.6,19,23,30,48.8,13.4,637,+6.0,3.6,556.5,11.3
16,200,58.0,44.8,38.2,18,22,30,38.4,11.8,838,+10.2,1.4,636.8,9.7
16,300,56.0,50.0,39.8,16,19,24,47.4,21.6,942,+7.1,8.7,664.5,9.3
16,399,43.2,39.6,30.8,16,19,28,54.4,22.0,680,+6.9,2.9,533.3,11.2
